Address,Occupied,Vacant,Owned_Loan,Owned_Clear,Renter_Occupied,TotalVacant_HUnits,ForRent,Rented_NotOccupied,ForSale,Sold_NotOccupied,Occasional_Use,MigrantWorkers,OtherVacant,H_White,H_AfricanAmerican,H_AmerIndian_Alaska,H_Asian,H_Hawaiian_Pacific,H_OtherRace,H_TwoOrMore_Races,Pop_Occ_HUnits,H_1P,H_2P,H_3P,H_4P,H_5P,H_6P,H_7MP,Owner_Occupied,Owner_Child_U18,Owner_NoChild_U18,Renter_Occupied,Renter_Child_U18,Renter_NoChild_U18,VacancyStatus_A,VacancyStatus_NA
"0 block academy green, Syracuse, NY",36,4,22,7,7,4,2,1,0,0,0,0,1,27,7,0,1,0,1,0,80,13,10,7,5,0,1,0,29,6,23,7,3,4,0,4
"0 block bear st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block bellevue ave, Syracuse, NY",54,1,9,4,41,1,0,0,1,0,0,0,0,29,21,0,0,0,3,1,198,6,12,9,9,12,3,3,13,5,8,41,28,13,0,1
"0 block cannon st, Syracuse, NY",30,4,12,2,16,4,1,0,0,0,0,0,3,3,25,0,0,0,2,0,113,2,2,14,4,4,2,2,14,7,7,16,11,5,0,4
"0 block catherine st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block childrens cir, Syracuse, NY",7,6,0,0,7,6,2,0,0,0,0,0,4,7,0,0,0,0,0,0,12,2,5,0,0,0,0,0,0,0,0,7,0,7,0,6
"0 block clinton st, Syracuse, NY",30,0,0,0,30,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,35,25,5,0,0,0,0,0,0,0,0,30,0,30,0,0
"0 block comstock av, Syracuse, NY",12,0,11,1,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,26,2,8,0,2,0,0,0,12,0,12,0,0,0,0,0
"0 block corcoran ct, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0 block costello ct, Syracuse, NY",28,0,7,18,3,0,0,0,0,0,0,0,0,25,2,0,1,0,0,0,37,19,9,0,0,0,0,0,25,1,24,3,0,3,0,0
"0 block destiny usa dr, Syracuse, NY",51,4,31,19,1,4,2,0,1,0,0,0,1,46,5,0,0,0,0,0,103,16,23,8,3,1,0,0,50,9,41,1,0,1,0,4
